file_path,file_name,file_type,scan_status,run_status,is_executable,in_scope,has_initialize,has_handle,missing_apis,error_message,scan_timestamp
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/18 国庆节献礼：实例说明白马股攻防转换策略.txt,18 国庆节献礼：实例说明白马股攻防转换策略.txt,txt,not_strategy,non_executable,False,False,False,False,,非策略文件（研究文档/配套资料）,2026-04-04T11:01:52.840922
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/48 动量ETF轮动-RSRS择时-卡尔曼滤波.txt,48 动量ETF轮动-RSRS择时-卡尔曼滤波.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.841040
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/58 ETF动量轮动RSRS与北上择时-股债平衡-盘中止损.txt,58 ETF动量轮动RSRS与北上择时-股债平衡-盘中止损.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.842952
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/06 国九小市值策略【年化100.5% 回撤25.6%】.txt,06 国九小市值策略【年化100.5% 回撤25.6%】.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.848101
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/80 过滤两个因子，12年15倍的roa选股500指数增强.txt,80 过滤两个因子，12年15倍的roa选股500指数增强.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.851895
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/98 【漂亮50】“漂亮50”策略复现以及股息率排序函数.txt,98 【漂亮50】“漂亮50”策略复现以及股息率排序函数.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.856556
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/65 韶华研究之七 不可多得的基本面三角.txt,65 韶华研究之七 不可多得的基本面三角.txt,txt,not_strategy,non_executable,False,False,False,False,,非策略文件（研究文档/配套资料）,2026-04-04T11:01:52.859994
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/92 敢于直接实盘的—八仙过海V2.txt,92 敢于直接实盘的—八仙过海V2.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.860258
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/48 低代码迁移成本的实盘方案：jqtrade+one quant.txt,48 低代码迁移成本的实盘方案：jqtrade+one quant.txt,txt,no_initialize,non_executable,False,False,False,False,,no_initialize,2026-04-04T11:01:52.863868
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/35 精选价值策略.txt,35 精选价值策略.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.865283
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/68 折价基金统计套利.txt,68 折价基金统计套利.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.868587
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/58 韶华研究之四-菲阿里四阶在T+1的短线策略应用.txt,58 韶华研究之四-菲阿里四阶在T+1的短线策略应用.txt,txt,not_strategy,non_executable,False,False,False,False,,非策略文件（研究文档/配套资料）,2026-04-04T11:01:52.870789
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/07 致敬经典作品——小兵哥《一致性风险度量》——极速版.txt,07 致敬经典作品——小兵哥《一致性风险度量》——极速版.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.870961
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/26 这个可入得了你们法眼.txt,26 这个可入得了你们法眼.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.875582
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/25 基本不耍六毛的ETF轮动策略.txt,25 基本不耍六毛的ETF轮动策略.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.880509
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/85 致敬市场(1)，探讨指数化策略投资.txt,85 致敬市场(1)，探讨指数化策略投资.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.882653
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/50 昨日炸板股策略.txt,50 昨日炸板股策略.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.884078
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/23 大盘择时，逻辑简单.txt,23 大盘择时，逻辑简单.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.886847
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/76 机器学习策略分享.txt,76 机器学习策略分享.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.890114
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/90 2019年到现在19倍的新策略.txt,90 2019年到现在19倍的新策略.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.896415
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/97 配套资料说明.txt,97 配套资料说明.txt,txt,not_strategy,non_executable,False,False,False,False,,非策略文件（研究文档/配套资料）,2026-04-04T11:01:52.898021
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/validation_v4_double_ma.txt,validation_v4_double_ma.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.898190
